Open DHCP Server Version 1.84 Linux Build 1058

[18-Nov-25 00:44:08] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:05:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:06:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:07:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:08:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:09:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:10:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:11:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:12:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:13:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:14:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:15:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:16:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:17:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:18:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:19:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:20:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:21:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:22:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:23:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:24:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:25:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:26:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:27:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:28:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:29:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:30:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:31:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:32:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:33:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:34:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:35:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:36:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:37:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:38:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:39:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:40:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:41:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:42:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:43:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:44:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:45:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:46:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:47:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:48:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:49:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:50:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:51:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:52:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:53:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:54:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:55:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:56:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:57:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:58:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 17:59:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:00:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:01:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:02:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:03:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:04:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:06:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:07:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:08:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:09:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:10:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:11:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:12:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:16:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:17:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:18:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:19:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:20:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:21:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:22:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:23:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:25:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:26:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:27:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:29:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:33:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:34:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:36:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:38:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:39:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:40:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:42:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:43:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:44:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:46:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:50:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:51:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:52:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:53:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:54:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:56:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 18:58:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:00:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:02:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:03:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:04:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:06:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:09:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:10:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:12:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:13:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:14:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:16:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:17:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:19:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:20:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:21:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:23:13] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 19:23:55] Network changed, re-detecting Listening Interfaces..
[18-Nov-25 19:24:15] Warning: Section [HTTP_INTERFACE], HTTPServer=192.168.7.1:6789 not available, ignored
[18-Nov-25 19:24:15] No Static Interface ready, Waiting...
Logging Continued on file /home/tando/Scriptsie/opendhcp/log/opendhcp20251119.log
